"SubID"	"NA_1"	"NA_2"	"NA_3"	"NA_4"	"NA_5"	"NA_6"	"NA_7"	"NA_8"	"NA_9"	"NA_10"	"PA_1"	"PA_2"	"PA_3"	"PA_4"	"PA_5"	"PA_6"	"PA_7"	"PA_8"	"PA_9"	"PA_10"	"Anx_1"	"Anx_2"	"Anx_3"	"Dep_1"	"Dep_2"	"Dep_3"	"Discrim_1"	"Discrim_2"	"Discrim_3"	"Discrim_4"	"Discrim_5"	"Discrim_6"	"Discrim_7"	"DailyNews"	"Survey"	"SWLS_1"	"SWLS_2"	"SWLS_3"	"SWLS_4"	"SWLS_5"	"SWLS_6"	"SelfEsteem"	"MIL_1"	"MIL_2"	"MIL_3"	"MIL_4"	"MIL_5"	"MIL_6"	"MIL_7"	"MIL_8"	"MIL_9"	"MIL_10"	"MIL_11"	"MIL_12"	"MIL_13"	"MIL_14"	"MIL_15"	"MIL_16"	"Suprise_1"	"Suprise_2"	"Suprise_3"	"Surpise_4"	"DMIL_1"	"DMIL_2"	"NN_1"	"NN_2"	"NN_3"	"NN_4"	"NN_5"	"NN_6"	"NP_1"	"NP_2"	"NP_3"	"NP_4"	"NP_5"	"NP_6"	"OP_1"	"OP_2"	"OP_3"	"OP_4"	"OP_5"	"Date"	"Time"	"DayStudy.adj"	"DayWeek"	"NA_agg"	"PA_agg"	"Dep_agg"	"Anx_agg"
"1022"	3	3	2	2	1	1	5	1	4	2	1	1	1	1	1	1	1	1	1	1	4	4	3	4	4	4	0	0	0	0	0	0	1	3	"Extended"	6	7	7	3	6	3	3	7	7	1	1	7	6	1	2	5	7	1	1	7	7	1	1	7	2	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 19:37:00	8	"Wednesday"	2.4	1	3.67	4
"1037"	4	5	5	5	2	3	1	1	2	4	4	5	4	5	5	5	4	5	3	3	5	5	5	1	1	1	NA	0	0	3	0	2	10	5	"Extended"	7	7	7	3	6	6	5	6	5	3	3	6	5	3	3	6	6	2	2	2	2	6	6	3	7	7	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 19:44:00	8	"Wednesday"	3.2	4.3	5	1
"1101"	4	4	4	NA	3	1	1	2	3	4	4	4	2	2	1	2	2	4	1	2	4	4	2	2	3	1	0	0	0	2	0	2	6	4	"Extended"	4	3	5	3	5	3	3	6	5	2	2	5	5	2	2	6	7	NA	NA	4	5	3	2	1	6	6	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 19:47:00	8	"Wednesday"	2.89	2.4	3.33	2
"1041"	2	2	4	1	1	1	1	1	4	1	2	2	1	3	1	1	2	1	1	2	NA	4	1	1	4	4	1	1	1	0	0	0	7	1	"Extended"	5	5	6	3	5	2	2	6	6	2	2	6	6	4	4	6	6	2	1	6	6	2	1	6	1	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 20:03:00	8	"Wednesday"	1.8	1.6	2.5	3
"1077"	2	2	2	3	1	1	2	1	1	1	4	2	4	3	2	3	2	2	2	1	3	3	1	1	1	1	0	0	0	0	0	0	4	2	"Extended"	3	5	5	3	6	6	6	6	6	3	2	6	5	3	1	7	7	1	1	5	6	1	1	2	4	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 20:31:00	8	"Wednesday"	1.6	2.5	2.33	1
"1014"	3	3	3	1	1	1	NA	NA	1	2	3	3	4	4	3	2	3	3	3	3	3	3	1	1	1	1	0	0	0	3	0	4	4	2	"Extended"	6	6	6	3	6	6	6	6	6	2	2	6	6	2	2	6	7	2	2	6	6	2	2	3	5	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 20:41:00	8	"Wednesday"	1.88	3.1	2.33	1
"1082"	3	NA	4	1	4	2	2	2	2	1	2	1	1	2	1	1	3	2	1	1	3	4	2	1	2	1	0	0	0	0	1	0	2	2	"Extended"	3	5	4	3	4	6	4	5	6	3	2	5	4	3	2	2	5	3	3	7	6	1	1	5	6	7	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 20:53:00	8	"Wednesday"	2.33	1.5	3	1.33
"1060"	1	1	3	1	1	1	1	1	2	1	3	2	2	3	2	2	2	3	1	3	3	2	3	1	1	1	0	0	0	0	0	0	0	3	"Extended"	5	6	6	3	5	3	5	5	5	2	2	5	5	2	2	6	6	2	2	5	6	3	3	5	2	2	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 20:56:00	8	"Wednesday"	1.3	2.3	2.67	1
"1083"	3	3	2	1	2	1	1	3	1	2	3	4	3	4	2	2	2	3	1	4	3	4	2	1	2	3	0	0	0	0	0	0	10	2	"Extended"	6	6	7	3	7	6	7	7	7	1	1	7	7	1	1	7	7	1	1	7	7	1	1	5	6	6	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 20:57:00	8	"Wednesday"	1.9	2.8	3	2
"1093"	1	3	3	1	4	1	1	3	5	1	1	2	1	1	1	1	1	1	1	1	3	3	3	3	4	3	0	0	0	0	0	0	1	3	"Extended"	3	3	1	3	5	2	1	2	4	5	7	6	4	2	6	7	7	1	1	1	2	7	7	4	2	2	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 20:57:00	8	"Wednesday"	2.3	1.1	3	3.33
"1017"	1	3	3	2	4	1	1	1	3	1	4	4	4	4	1	3	3	4	2	5	4	4	1	3	3	1	0	0	0	0	0	0	0	2	"Extended"	3	3	3	3	4	2	6	1	1	2	2	6	7	5	6	7	7	1	1	1	7	1	1	1	7	7	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 21:04:00	8	"Wednesday"	2	3.4	3	2.33
"1031"	1	2	3	1	1	1	1	2	1	3	3	4	4	3	3	3	3	4	2	2	3	3	3	1	1	1	0	0	0	0	0	0	0	3	"Extended"	6	7	6	3	7	6	3	5	5	2	2	5	4	4	3	6	7	2	2	2	3	3	4	5	5	6	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 21:14:00	8	"Wednesday"	1.6	3.1	3	1
"1047"	3	3	5	5	3	3	1	1	5	4	2	3	4	2	2	2	1	2	2	2	5	5	4	5	4	4	0	0	0	3	0	2	6	3	"Extended"	3	5	5	3	5	5	3	3	3	5	5	5	2	6	7	5	5	3	2	4	4	4	4	2	5	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 21:18:00	8	"Wednesday"	3.3	2.2	4.67	4.33
"1005"	3	3	5	5	3	2	2	2	2	5	5	5	5	5	5	5	5	5	2	5	5	5	4	1	3	1	0	0	0	0	0	0	10	5	"Extended"	6	6	5	1	6	6	4	7	7	1	1	7	7	1	2	7	7	1	1	7	7	1	1	7	1	1	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 21:18:00	8	"Wednesday"	3.2	4.7	4.67	1.67
"1023"	4	4	3	4	1	1	4	3	2	5	3	2	5	1	2	3	1	1	2	2	4	4	3	5	3	4	0	0	0	4	0	0	4	5	"Extended"	3	4	5	3	6	1	5	3	3	2	2	6	4	7	7	5	7	2	1	2	1	6	6	5	5	7	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 21:36:00	8	"Wednesday"	3.1	2.2	3.67	4
